title,price,provence,year,fuel,kilometers,change,power
Audi A3 Sportback 1.6 TDI 105cv Ambiente,9.990 €,"Utebo (Zaragoza)
Hace 5 horas",2010,Diesel,144.000 Km,,105 CV
Opel Antara 2.0 CDTI 16V Cosmo Plus,8.990 €,"Utebo (Zaragoza)
Hace 5 horas",2010,Diesel,170.000 Km,,150 CV
Fiat Doblo Combi Active 1.9 Multijet,4.500 €,"Utebo (Zaragoza)
Hace 5 horas",2010,Diesel,166.000 Km,,105 CV
BMW Serie 3 320i,13.990 €,"Utebo (Zaragoza)
Hace 5 horas",2010,Gasolina,81.000 Km,,170 CV
Renault Clio Confort Expression 1.5dCi65,2.490 €,"Utebo (Zaragoza)
Hace 5 horas",2003,Diesel,283.000 Km,,65 CV
Audi A4 2.0 TDI Avant,6.490 €,"Utebo (Zaragoza)
Hace 5 horas",2006,Diesel,231.000 Km,,140 CV
Audi A4 2.0 TDI,5.490 €,"Utebo (Zaragoza)
Hace 5 horas",2006,Diesel,233.000 Km,,140 CV
Opel Vectra Comfort 1.9 CDTI 8v,2.490 €,"Utebo (Zaragoza)
Hace 5 horas",2005,Diesel,235.000 Km,,120 CV
Nissan Terrano 3.0DI Sport 3p,5.490 €,"Utebo (Zaragoza)
Hace 5 horas",2004,Diesel,309.000 Km,,154 CV
Mercedes Clase C 180 K Blue Efficiency,8.490 €,"Utebo (Zaragoza)
Hace 5 horas",2009,Gasolina,133.000 Km,,156 CV
Volkswagen Caddy Kombi PRO 1.6 TDI 75cv BMT 5pl,7.438 €,"Utebo (Zaragoza)
Hace 5 horas",2014,Diesel,140.000 Km,,75 CV
Audi A6 Avant 2.0 TDI 170cv DPF,8.990 €,"Utebo (Zaragoza)
Hace 5 horas",2010,Diesel,234.000 Km,,170 CV
Ford C-Max 1.8 TDCi Ghia,4.790 €,"Utebo (Zaragoza)
Hace 5 horas",2007,Diesel,147.000 Km,,115 CV
Peugeot Expert L2 2.0 HDi 120 FAP Business,6.790 €,"Utebo (Zaragoza)
Hace 5 horas",2009,Diesel,257.000 Km,,120 CV
Volkswagen Golf Golf 2.0 TSI 235cv DSG GTI Edicion 35,21.590 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2011,Gasolina,125.742 Km,,235 CV
Volkswagen Scirocco RLine 1.4 TSI 125CV BMT,19.990 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2016,Gasolina,46.997 Km,,125 CV
Audi S3 2.0 TFSI quattro,15.390 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2007,Gasolina,114.690 Km,,265 CV
Opel Adam 1.4 XER Glam,8.590 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2015,Gasolina,81.491 Km,,100 CV
BMW X1 xDrive 20dA,22.290 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2014,Diesel,53.947 Km,,184 CV
Audi A4 AUDI A4 2.0 TDI 150CV S tronic Sport edition,22.790 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2016,Diesel,141.000 Km,,150 CV
BMW X1 sDrive18i,21.990 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2016,Gasolina,147.146 Km,,136 CV
Volkswagen Golf VI 2.0 TSI 270cv DSG 4Motion R,21.490 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2010,Gasolina,147.146 Km,,270 CV
Volkswagen Scirocco 2.0 TSI 265cv DSG R,20.390 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2011,Gasolina,117.659 Km,,265 CV
Toyota Auris OYOTA 1.6 VVTi Dual Luna MM,6.490 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2008,Gasolina,69.882 Km,,124 CV
Volkswagen Beetle 2.0 TSI 210cv DSG Sport,19.790 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2013,Gasolina,76.386 Km,,210 CV
Audi Q5 3.0 TDI 240cv quattro S tronic,21.590 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2011,Diesel,140.923 Km,,240 CV
Volkswagen Golf GTI 2.0 TSI 220cv DSG BMT,19.890 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2015,Gasolina,143.418 Km,,220 CV
Audi A3 2.0 TDI S Line SportPaket Quattro,19.790 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2014,Diesel,120.724 Km,,184 CV
BMW Serie 5 520D,19.490 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2010,Diesel,68.850 Km,,184 CV
Volkswagen New Beetle 1.4 TSI 160cv DSG Sport,17.590 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2013,Gasolina,43.039 Km,,160 CV
BMW Serie 1 118d Auto,15.990 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2012,Diesel,103.543 Km,,143 CV
BMW Serie 3 320d Gran Turismo,19.490 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2014,Diesel,94.659 Km,,184 CV
Audi A1 1.4 TFSI 185cv S tronic Ambition,14.990 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2012,Gasolina,121.273 Km,,185 CV
Volkswagen Scirocco 1.4 TSI 160cv GTS,14.490 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2013,Gasolina,107.800 Km,,160 CV
Lotus 2 Eleven LOTUS EXCEL S.E 2.2,36.000 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",1986,Gasolina,57.000 Km,,183 CV
Audi A5 Sportback 3.0 TDI 245CV Quattro Sline edition,22.390 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2014,Diesel,126.586 Km,,245 CV
Volkswagen Golf 2.0 TDI 170cv DSG 6 vel GTD,15.890 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2011,Diesel,75.651 Km,,170 CV
Mercedes Clase M ML 63 AMG,24.990 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2008,Gasolina,168.000 Km,,510 CV
Volkswagen Touareg 3.0 V6 TDI Tiptronic BMTech,18.990 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2010,Diesel,167.528 Km,,240 CV
Audi Q5 3.0 TDI 240cv quattro S tronic DPF,20.990 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2009,Diesel,166.294 Km,,240 CV
Audi A3 Sportback 1.9 TDI S line edition,9.690 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2008,Diesel,121.517 Km,,105 CV
BMW Serie 6 M6,23.990 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2007,Gasolina,169.909 Km,,507 CV
Mini Cooper S 175CV,10.490 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2008,Gasolina,53.716 Km,,175 CV
Volkswagen Passat CC 2.0 TDI 140cv DSG BlueMotion Technology,18.990 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2012,Diesel,51.200 Km,,140 CV
BMW Serie 7 750i,22.990 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2010,Gasolina,100.900 Km,,407 CV
BMW Serie 3 320D Cabrio,17.490 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2011,Diesel,110.801 Km,,184 CV
BMW Serie 1 120d,8.990 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2008,Diesel,115.380 Km,,177 CV
Nissan Juke 1.6 DIGT 200CV NISMO 4X2,12.490 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2013,Gasolina,124.700 Km,,200 CV
Mini Cooper 1.8 TFSI,6.490 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2007,Gasolina,101.491 Km,,120 CV
Mercedes Clase S 320 CDI,5.600 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2003,Diesel,230.000 Km,,204 CV
Nissan 370Z 3.7 V6 PACK,23.490 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2009,Gasolina,49.250 Km,,330 CV
Audi S3 2.0 TFSI quattro,14.590 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2018,Gasolina,174.000 Km,,265 CV
BMW Serie 3 320D,20.490 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2012,Diesel,101.820 Km,,184 CV
Volkswagen Golf 2.0 TSI 270cv DSG 4Motion R,23.490 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2012,Gasolina,121.120 Km,,270 CV
Audi S4 3.0 TFSI 333cv Quattro Stronic,25.490 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2011,Gasolina,109.290 Km,,333 CV
BMW Serie 3 320D,11.990 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2012,Diesel,130.780 Km,,185 CV
Mazda Mazda6 2.2 DE 150cv AT Style,11.690 €,"Rivas-Vaciamadrid (Madrid)
Hace 5 horas",2013,Diesel,146.760 Km,,150 CV
