  LEXUS RC 2.5 300H F SPORT  ,44.900 € ,Madrid,2018, Eléctrico,14.000 km,Automático,223 cv
  SEAT Ibiza 1.0 TSI S&S Style 115  ,12.900 € ,Islas Baleares,2017, Gasolina,8.900 km,Manual,115 cv
  VOLKSWAGEN Bora 1.6 Conceptline 105  ,3.300 € ,Madrid,2001, Gasolina,114.500 km,Manual,105 cv
  TOYOTA Yaris 1.4D-4D Sol  ,5.550 € ,Madrid,2008, Diesel,57.400 km,Manual,90 cv
  PEUGEOT 508 1.5BlueHDi S&S Active 130  ,23.246 € ,Madrid,2019, Diesel,2 km,Manual,130 cv
  SEAT León 1.2 TSI S&S Style 110  ,12.500 € ,Pontevedra,2018, Gasolina,18.450 km,Manual,
  OPEL Corsa 1.4 Selective 90  ,7.500 € ,Valencia,2016, Gasolina,99.294 km,Manual,90 cv
  FORD Kuga Vignale 2.0TDCi Auto S&S 4x2 150  ,24.600 € ,Zaragoza,2018, Diesel,30.000 km,Manual,150 cv
  FORD Focus 1.6 Trend  ,5.800 € ,Valladolid,2008, Gasolina,133.000 km,Manual,100 cv
  AUDI A4 Avant 3.0TDI S line ed. Q. tiptronic 200kW  ,40.300 € ,Vizcaya,2017, Diesel,55.000 km,Automático,272 cv
  PEUGEOT 508 1.6 PureTech S&S Allure EAT8 180  ,28.991 € ,Madrid,2019, Gasolina,2 km,Automático,180 cv
  PEUGEOT 508 2.0BlueHDi S&S GT Line EAT8 180  ,36.217 € ,Madrid,2019, Diesel,2 km,Automático,177 cv
  SEAT Ateca 1.0 TSI S&S Ecomotive Style  ,18.000 € ,Huelva,2018, Gasolina,29.530 km,Manual,115 cv
  RENAULT Scénic 1.5dCi Energy Dynamique 110  ,10.200 € ,Cantabria,2013, Diesel,72.120 km,Manual,110 cv
  SEAT León 2.0 TSI S&S Cupra 300  ,24.990 € ,Barcelona,2018, Gasolina,14.000 km,Manual,300 cv
  SEAT León 1.2 TSI Reference 86  ,7.490 € ,Islas Baleares,2012, Gasolina,71.278 km,Manual,86 cv
  VOLVO V40 Cross Country D2 Momentum 120  ,17.900 € ,Pontevedra,2017, Diesel,24.000 km,Manual,120 cv
  PEUGEOT 308 1.5BlueHDi S&S Tech Edition 130  ,19.611 € ,Madrid,2019, Diesel,2 km,Manual,130 cv
  NISSAN Qashqai 1.3 DIG-T Acenta 4x2 103kW  ,19.050 € ,Alicante,2019, Gasolina,100 km,Manual,140 cv
