  OPEL Astra 1.6CDTi Excellence 110  ,15.990 € ,Madrid,2017, Diesel,10 km,Manual,110 cv
  OPEL Meriva 1.6CDTi S&S Ecoflex Selective  ,10.700 € ,Huelva,2016, Diesel,103.631 km,Manual,110 cv
  HYUNDAI i10 1.0 Tecno  ,7.590 € ,Madrid,2018, Gasolina,15.070 km,Manual,66 cv
  LEXUS RX 450H EXECUTIVE TECNO  ,36.900 € ,Madrid,2016, Eléctrico,196.000 km,Automático,313 cv
  SEAT Ibiza SC 1.2 Tsi FR  ,11.900 € ,Islas Baleares,2016, Gasolina,17.500 km,Manual,105 cv
  PEUGEOT 208 5P ALLURE 1.6 BLUEHDI 73KW (100CV)  ,10.900 € ,Cantabria,2016, Diesel,31.856 km,Manual,100 cv
  VOLKSWAGEN Passat 1.6TDI Advance 88kW  ,15.800 € ,Madrid,2015, Diesel,105.542 km,Manual,120 cv
  OPEL Insignia 2.0CDTI Excellence Aut. 163  ,11.900 € ,Cuenca,2015, Diesel,119.000 km,Automático,163 cv
  MERCEDES-BENZ Clase A 180CDI BE AMG Line  ,19.970 € ,Valencia,2015, Diesel,42.600 km,Manual,109 cv
  LEXUS NX 2.5 300H LUXURY 4WD  ,52.890 € ,Madrid,2017, Eléctrico,23.000 km,Automático,197 cv
  TOYOTA Land Cruiser Diesel de 3 Puertas  ,6.490 € ,Madrid,1992, Diesel,310.000 km,Manual,100 cv
  HYUNDAI ix35 1.7CRDI BD Tecno 4x2  ,12.950 € ,Madrid,2015, Diesel,64.617 km,Manual,115 cv
  NISSAN X-Trail 1.6 dCi N-Connecta 4x2  ,21.400 € ,Barcelona,2017, Diesel,8.517 km,Manual,130 cv
  AUDI A4 Avant 2.0TDI CD ultra 136  ,14.900 € ,Sevilla,2015, Diesel,146.629 km,Manual,136 cv
  FORD Focus 1.0 Ecoboost Auto-S&S ST-Line 125  ,14.900 € ,Barcelona,2017, Gasolina,25.590 km,Manual,125 cv
  DODGE Journey 2.0CRD SE 7 plazas  ,12.200 € ,Cantabria,2010, Diesel,86.825 km,Manual,140 cv
  SEAT Ibiza 1.0 TSI S&S Reference 95  ,11.800 € ,Albacete,2018, Gasolina,4.740 km,Manual,95 cv
  SEAT Ibiza 1.4TDI CR S&S Style 105  ,10.000 € ,Badajoz,2016, Diesel,68.648 km,Manual,105 cv
  NISSAN Qashqai 1.3 DIG-T Acenta 4x2 103kW  ,19.050 € ,Alicante,2019, Gasolina,100 km,Manual,140 cv
  OPEL Corsa 1.4 Expression 75  ,8.900 € ,Las Palmas,2015, Gasolina,46.000 km,Manual,75 cv
  BMW Serie 3 320d Touring  ,13.500 € ,Asturias,2013, Diesel,198.579 km,Manual,184 cv
  PEUGEOT 2008 1.6 BlueHDI Style 100  ,12.990 € ,Madrid,2018, Diesel,8.559 km,Manual,100 cv
  CITROEN C4 Cactus NUEVO  BLUEHDI 100 S&S SHINE  ,14.200 € ,Vizcaya,2018, Diesel,12.707 km,Manual,
  CITROEN C3 Aircross NUEVO  PURETECH 82 FEEL  ,11.500 € ,Vizcaya,2018, Gasolina,27.279 km,Manual,
