  NISSAN Juke 1.5dCi Tekna 4x2  ,9.240 € ,Madrid,2016, Diesel,150.123 km,Manual,110 cv
  NISSAN Juke 1.6 N-Connecta 4x2 XTronic 117  ,10.970 € ,Madrid,2017, Gasolina,73.249 km,Automático,117 cv
  NISSAN Juke 1.2 DIG-T N-Connecta 4x2 115  ,9.930 € ,Madrid,2016, Gasolina,69.657 km,Manual,115 cv
  NISSAN Qashqai DIG-T E6D N-CONNECTA  ,17.710 € ,Madrid,2018, Gasolina,15.000 km,Manual,140 cv
  SEAT Arona 1.0 TSI ECO. S&S FR DSG-7 AUTOMaTICO  ,17.270 € ,Madrid,2018, Gasolina,16.510 km,Automático,115 cv
  HYUNDAI i30 5P CRDI 1.6 KLASS LE  ,13.470 € ,Madrid,2018, Diesel,13.535 km,Manual,110 cv
  TOYOTA Yaris 1.0 Active  ,8.990 € ,Madrid,2018, Gasolina,49.949 km,Manual,69 cv
  TOYOTA Auris Touring Sports hybrid Active  ,12.620 € ,Madrid,2015, Híbrido,59.039 km,Automático,136 cv
  TOYOTA Auris hybrid 140H Feel!  ,14.770 € ,Madrid,2017, Híbrido,41.978 km,Automático,136 cv
  NISSAN Juke 1.6 N-Connecta 4x2 XTronic 117  ,10.970 € ,Madrid,2017, Gasolina,73.249 km,Automático,117 cv
  NISSAN Juke 1.2 DIG-T N-Connecta 4x2 115  ,9.930 € ,Madrid,2016, Gasolina,69.657 km,Manual,115 cv
  NISSAN Qashqai DIG-T E6D N-CONNECTA  ,17.710 € ,Madrid,2018, Gasolina,15.000 km,Manual,140 cv
  SEAT Arona 1.0 TSI ECO. S&S FR DSG-7 AUTOMaTICO  ,17.270 € ,Madrid,2018, Gasolina,16.510 km,Automático,115 cv
  SKODA Scala 1.0 TSI Style 85kW  ,21.350 € ,Pontevedra,2019, Gasolina,3 km,Manual,116 cv
  AUDI A6 2.0TDI S line edition S-T 140kW  ,25.900 € ,Barcelona,2017, Diesel,34.948 km,Automático,190 cv
  AUDI A1 Sportback 1.6TDI Adrenalin  ,14.700 € ,Barcelona,2017, Diesel,31.846 km,Manual,116 cv
  FORD Mustang Cabrio V6  ,8.995 € ,Madrid,2006, Gasolina,68.000 km,Manual,
  MERCEDES-BENZ Clase GLC 250d 4Matic Aut.  ,40.850 € ,Madrid,2017, Diesel,25.133 km,Automático,204 cv
  HYUNDAI Kona TGDI 1.6 4X4 DT TECNO 2C LIME AUT.  ,20.550 € ,Madrid,2018, Gasolina,0 km,Automático,176 cv
  HYUNDAI i20 FL 5P TGDI 1.0 TECNO LE  ,12.100 € ,Madrid,2018, Gasolina,0 km,Manual,100 cv
  INFINITI QX30 2.2d Premium AWD 7DCT  ,24.180 € ,Madrid,2018, Diesel,8.535 km,Automático,170 cv
  MERCEDES-BENZ Clase GLC 250d 4Matic Aut.  ,40.850 € ,Madrid,2017, Diesel,25.133 km,Automático,204 cv
  TOYOTA Yaris 100H 1.5 Active  ,13.390 € ,Madrid,2017, Híbrido,7.138 km,Automático,100 cv
  VOLKSWAGEN Tiguan Allspace 2.0TDI Sport 4Motion 110kW  ,34.900 € ,La Rioja,2018, Diesel,300 km,Manual,150 cv
  FORD EcoSport 1.5 TDCI 73KW (100CV) S &AMP;AMP; S TREND  ,14.900 € ,Barcelona,2018, Diesel,1 km,Manual,101 cv
  MINI Mini Cabrio Cooper D  ,23.200 € ,Valencia,2018, Diesel,2.600 km,Manual,116 cv
  BMW X5 xDrive 30dA  ,16.900 € ,Valencia,2008, Diesel,130.000 km,Automático,235 cv
  LAND-ROVER Range Rover Evoque 2.0eD4 SE 2WD 150  ,33.996 € ,Madrid,2019, Diesel,2.512 km,Manual,150 cv
  OPEL Insignia 1.6CDTI ecoFlex S&S Business 136  ,10.400 € ,Navarra,2015, Diesel,90.000 km,Manual,136 cv
  SUZUKI Swift 1.4T Sport  ,16.490 € ,Madrid,2018, Gasolina,16.500 km,Manual,140 cv
  VOLVO XC90 D5 Momentum 7pl. AWD Aut. 200  ,18.900 € ,Sevilla,2013, Diesel,139.928 km,Automático,200 cv
  NISSAN X-Trail 1.6 dCi Tekna 4x4-i  ,30.500 € ,Alicante,2019, Diesel,100 km,Manual,130 cv
  RENAULT Talisman 1.6dCi Energy Zen EDC 96kW  ,21.490 € ,Cantabria,2018, Diesel,16.276 km,Automático,130 cv
  MERCEDES-BENZ Clase C 220 CDI Avantgarde  ,12.900 € ,Burgos,2007, Diesel,84.000 km,Manual,150 cv
  BMW Serie 2 218d Active Tourer  ,15.000 € ,Orense,2015, Diesel,92.140 km,Manual,150 cv
  FORD C-Max 1.0 Ecoboost Auto-S&S Trend+ 125  ,12.500 € ,Vizcaya,2016, Gasolina,39.900 km,Manual,125 cv
  CITROEN Berlingo M1 BlueHDi Talla M Feel 100  ,15.734 € ,Burgos,2019, Diesel,3 km,Manual,102 cv
  NISSAN X-Trail 1.6 dCi Tekna 4x4-i  ,30.500 € ,Alicante,2019, Diesel,100 km,Manual,130 cv
  RENAULT Talisman 1.6dCi Energy Zen EDC 96kW  ,21.490 € ,Cantabria,2018, Diesel,16.276 km,Automático,130 cv
  MERCEDES-BENZ Clase C 220 CDI Avantgarde  ,12.900 € ,Burgos,2007, Diesel,84.000 km,Manual,150 cv
  BMW Serie 2 218d Active Tourer  ,15.000 € ,Orense,2015, Diesel,92.140 km,Manual,150 cv
  MERCEDES-BENZ Clase C 43 AMG 4Matic 7G Plus  ,48.900 € ,Barcelona,2017, Gasolina,25.000 km,Automático,367 cv
  HYUNDAI i30 1.4 MPI BD Essence 100  ,10.490 € ,Las Palmas,2016, Gasolina,39.500 km,Manual,100 cv
  FORD Focus 1.0 ECOBOOST 92KW ST-LINE  ,16.990 € ,Barcelona,2019, Gasolina,10 km,Manual,125 cv
  PEUGEOT 3008 1.5L BLUEHDI 96KW (130CV) S&S ALLURE  ,28.590 € ,Barcelona,2019, Diesel,10 km,Manual,130 cv
  FORD Kuga 2.0 TDCI 150 CV S&S 2WD TITANIUM  ,18.450 € ,Ciudad Real,2017, Diesel,33.000 km,Manual,150 cv
  BMW X5 xDrive 30dA  ,49.900 € ,Valencia,2016, Diesel,25.294 km,Automático,258 cv
  CITROEN Berlingo M1 BlueHDi Talla M Feel 100  ,15.734 € ,Burgos,2019, Diesel,3 km,Manual,102 cv
  DS DS3 1.6BlueHDi S&S Desire 100  ,12.830 € ,Burgos,2018, Diesel,40 km,Manual,99 cv
  TOYOTA Avensis 120D Advance  ,9.760 € ,Madrid,2014, Diesel,84.157 km,Manual,124 cv
  HYUNDAI i30 5P CRDI 1.6 DT STYLE PRESS  ,15.980 € ,Madrid,2017, Diesel,14.175 km,Automático,136 cv
  NISSAN Qashqai 1.5dCi N-Connecta 4x2  ,18.570 € ,Madrid,2018, Diesel,27.811 km,Manual,110 cv
